"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
exposoma_12_vacas,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><p>Parques visitados con más frecuencia<br>Durante el año escolar (cuando hay clases), ¿en qué parques de su barrio o ciudad juega su hijo con mayor frecuencia?</p> <table style=""border-collapse: collapse; width: 100%; height: 100px;"" border=""1""><colgroup><col style=""width: 33.3807%;""><col style=""width: 33.3807%;""><col style=""width: 33.2386%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td>Parque</td> <td>Nombre o referencia</td> <td>Distrito o zona</td> </tr> <tr style=""height: 25px;""> <td>Parque 1</td> <td>{exposoma_12_vacas_ref1}</td> <td>{exposoma_12_vacas_dist1}</td> </tr> <tr style=""height: 25px;""> <td>Parque 2</td> <td>{exposoma_12_vacas_ref2}</td> <td>{exposoma_12_vacas_dist2}</td> </tr> <tr style=""height: 25px;""> <td>Parque 3</td> <td>{exposoma_12_vacas_ref3}</td> <td>{exposoma_12_vacas_dist3}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
exposoma_12_vacas_ref1,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_vacas_ref2,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_vacas_dist1,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_vacas_dist2,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_12_vacas_dist3,cuestionario_de_padres_exposoma,,text,"Nombre o referencia (año escolar, cuando hay clases)",,,,,,,,,,,,,
exposoma_13,cuestionario_de_padres_exposoma,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 175px;"" border=""1""><colgroup><col style=""width: 33.3817%;""><col style=""width: 33.3817%;""><col style=""width: 33.2366%;""></colgroup> <tbody> <tr> <td style=""text-align: left;"" colspan=""3"">Visitas a espacios naturales <br><span style=""font-weight: normal;"">A continuación, indique el </span><span style=""text-decoration: underline;"">número de días </span><span style=""font-weight: normal;"">que su hijo visitó los siguientes lugares:</span></td> </tr> <tr style=""height: 25px;""> <td style=""text-align: center;"">Época</td> <td style=""text-align: center;"">Lugar</td> <td style=""text-align: center;"">Número de días</td> </tr> <tr style=""height: 25px;""> <td rowspan=""2"">Durante el año escolar</td> <td><strong id=""docs-internal-guid-6cfc2583-7fff-6ef5-646a-4e10ade6f964"">Bosque, montaña o río </strong></td> <td>{exposoma_13_1}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7c0c8fce-7fff-8a02-ed09-8966eea9121c"">Playa</strong></td> <td>{exposoma_13_2}</td> </tr> <tr style=""height: 25px;""> <td rowspan=""2"">Durante las vacaciones</td> <td><strong id=""docs-internal-guid-6cfc2583-7fff-6ef5-646a-4e10ade6f964"">Bosque, montaña o río </strong></td> <td>{exposoma_13_3}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7c0c8fce-7fff-8a02-ed09-8966eea9121c"">Playa</strong></td> <td>{exposoma_13_4}</td> </tr> <tr style=""height: 25px;""> <td rowspan=""2"">Durante la última semana</td> <td><strong id=""docs-internal-guid-6cfc2583-7fff-6ef5-646a-4e10ade6f964"">Bosque, montaña o río </strong></td> <td>{exposoma_13_5}</td> </tr> <tr style=""height: 25px;""> <td><strong id=""docs-internal-guid-7c0c8fce-7fff-8a02-ed09-8966eea9121c"">Playa</strong></td> <td>{exposoma_13_6}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
exposoma_13_1,cuestionario_de_padres_exposoma,,text,"Durante el año escolar: Bosque, montaña o río ",,"Unidad: días",number,,,,,y,,,,,
exposoma_13_2,cuestionario_de_padres_exposoma,,text,"Durante el año escolar: Playa",,"Unidad: días",number,,,,,y,,,,,
exposoma_13_3,cuestionario_de_padres_exposoma,,text,"Durante las vacaciones: Bosque, montaña o río ",,"Unidad: días",number,,,,,y,,,,,
exposoma_13_4,cuestionario_de_padres_exposoma,,text,"Durante las vacaciones: Playa",,"Unidad: días",number,,,,,y,,,,,
exposoma_13_5,cuestionario_de_padres_exposoma,,text,"Durante la última semana: Bosque, montaña o río ",,"Unidad: días",number,,,,,y,,,,,
exposoma_13_6,cuestionario_de_padres_exposoma,,text,"Durante la última semana: Playa",,"Unidad: días",number,,,,,y,,,,,
exposoma_14,cuestionario_de_padres_exposoma,,checkbox,"Actividad reciente 
Pensando en ayer o hoy, ¿su hijo pasó tiempo en alguno de los siguientes lugares?","1, En un parque o área verde (jardín) cerca de su casa o barrio | 2, Bosque o área natural | 3, Playa | 4, Patio o jardín de su casa | 5, En otro lugar","(Marque todas las opciones que correspondan)",,,,,,y,LV,,,,
exposoma_14_otro,cuestionario_de_padres_exposoma,,text," En otro lugar (especifique): ",,"Escribir en mayúsculas y sin tildes",,,,,[exposoma_14(5)]='1',,,,,,
espacio_verde_seguro,cuestionario_de_padres_exposoma,,radio,"En general, ¿cree que los espacios verdes cercanos a su casa  son seguros y adecuados para que los adolescentes jueguen?","0, No | 1, Sí, totalmente | 2, Parcialmente","(marque solo una opción)",,,,,,y,LV,,,,
exposoma_15_1,cuestionario_de_padres_exposoma,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 3: Percepción de disfrute y seguridad del barrio

<span style=""font-weight: normal; color: #063eff;"">¿En qué medida estás de acuerdo con las siguientes afirmaciones?</span></p></div>",radio,"Este barrio es un lugar en el que disfruto vivir","4, Totalmente de acuerdo | 3, De acuerdo | 2, Ni de acuerdo ni en desacuerdo | 1, En desacuerdo | 0, Totalmente en desacuerdo",,,,,,,y,,,exposoma_15,,
exposoma_15_2,cuestionario_de_padres_exposoma,,radio,"Es fácil obtener ayuda práctica de los vecinos","4, Totalmente de acuerdo | 3, De acuerdo | 2, Ni de acuerdo ni en desacuerdo | 1, En desacuerdo | 0, Totalmente en desacuerdo",,,,,,,y,,,exposoma_15,,
exposoma_15_3,cuestionario_de_padres_exposoma,,radio,"En mi barrio se puede confiar en la mayoría de las personas","4, Totalmente de acuerdo | 3, De acuerdo | 2, Ni de acuerdo ni en desacuerdo | 1, En desacuerdo | 0, Totalmente en desacuerdo",,,,,,,y,,,exposoma_15,,
exposoma_16,cuestionario_de_padres_exposoma,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 4: Exposición de tabaco ambiental </p></div>",radio,"¿Cuál de las siguientes opciones describe mejor su consumo de tabaco?
(Responda usted, madre/padre/apoderado del adolescente)","0, No fumadora, nunca he fumado | 1, Fumé anteriormente, pero ya no fumo | 2, Fumo ocasionalmente (menos de una vez por semana) | 3, Fumo regularmente (una o más veces por semana)",,,,,,,y,LV,,,,
exposoma_17,cuestionario_de_padres_exposoma,,radio,"<div class=""rich-text-field-label""><p>¿Alguien fuma <span style=""text-decoration: underline;"">actualmente</span> dentro de su casa?</p></div>","1, Sí | 0, No",,,,,,,y,LV,,,,
exposoma_17_1,cuestionario_de_padres_exposoma,,radio,"¿Quién fuma dentro de su casa?","1, Usted | 2, Su pareja | 3, Otra persona del hogar (por ejemplo, abuelo, tío, hermano)","Escribir en mayúsculas y sin tildes",,,,,[exposoma_17]='1',y,LV,,,,
exposoma_17_1_usted,cuestionario_de_padres_exposoma,,text,"Usted, ¿Cuántos cigarrillos fuma por semana en total?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='1',y,,,,,
exposoma_17_1_usted1,cuestionario_de_padres_exposoma,,text,"Usted, ¿Cuántos de esos cigarrillos fuma dentro de la casa?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='2',y,,,,,
exposoma_17_1_pareja,cuestionario_de_padres_exposoma,,text,"Su pareja, ¿Cuántos cigarrillos fuma por semana en total?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='2',y,,,,,
exposoma_17_1_pareja1,cuestionario_de_padres_exposoma,,text,"Su pareja, ¿Cuántos de esos cigarrillos fuma dentro de la casa?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='2',y,,,,,
exposoma_17_1_otra,cuestionario_de_padres_exposoma,,text,"Otra persona del hogar (por ejemplo, abuelo, tío, hermano), ¿Cuántos cigarrillos fuma por semana en total?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='3',y,,,,,
exposoma_17_1_otra1,cuestionario_de_padres_exposoma,,text,"Otra persona del hogar (por ejemplo, abuelo, tío, hermano), ¿Cuántos de esos cigarrillos fuma dentro de la casa?",,"Número de cigarrillos",number,1,200,,[exposoma_17_1]='3',y,,,,,
exposoma_18,cuestionario_de_padres_exposoma,,yesno,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">Durante la última semana</span>, ¿su hijo estuvo en algún lugar cerrado donde alguien estaba fumando?</p></div>",,,,,,,,y,RH,,,,
exposoma_18_1,cuestionario_de_padres_exposoma,,radio,"Si marcó ""sí"", ¿cuántas veces por semana?","1, Una vez | 2, 2 - 3 veces | 3, Más de 3 veces",,,,,,[exposoma_18]='1',,LV,,,,
exposoma_19,cuestionario_de_padres_exposoma,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 5: Exposición a contaminación industrial</p> <p dir=""ltr"" style=""text-align: center;""><span style=""color: #063eff; font-weight: normal;"">Las siguientes preguntas son para conocer si cerca de su vivienda existen fuentes industriales o empresas que puedan emitir humo, gases, polvo u otros contaminantes al aire. </span></p> <p dir=""ltr"" style=""text-align: center;""><span style=""color: #063eff; font-family: 'Open Sans'; font-weight: normal;""><strong id=""docs-internal-guid-42fb35a0-7fff-5037-8add-77a07720bba6"">Por favor, responda según lo que usted haya observado en su barrio o alrededor de su casa.</strong></span></p></div>",radio,"Presencia de industrias o empresas cercanas
¿Cerca de su casa (a menos de 100 metros) hay alguna empresa, taller o industria que emita humo, gases, polvo u olores fuertes?
","0, No | 1, Sí | 99, No sabe / No responde",,,,,,,y,LV,,,,"Presencia de industrias o empresas cercanas"
exposoma_20,cuestionario_de_padres_exposoma,,checkbox,"i. Identificación de las fuentes
¿Qué tipo de empresa o industria está más cerca de su casa? ","1, Fábrica o planta industrial (ejemplo: cemento, alimentos, textiles, etc.) | 2, Taller mecánico o de soldadura | 3, Panadería o polleria | 4, Empresa de transporte o estación de buses/camiones | 5, Otra {exposoma_20_otro}","(puede marcar más de una opción).",,,,,[exposoma_19]='1',y,LV,,,,"Identificación de las fuentes"
exposoma_20_otro,cuestionario_de_padres_exposoma,,text,Especifique:,,"Escribir en mayúsculas y sin tildes",,,,,[exposoma_20(5)]='1',y,RH,,,,
exposoma_21,cuestionario_de_padres_exposoma,,radio,"Aproximadamente, ¿A qué distancia se encuentra la empresa más cercana?","1, Menos de 50 metros | 2, Entre 50 y 100 metros | 3, Más de 100 metros",,,,,,[exposoma_19]='1',y,,,,,
exposoma_22,cuestionario_de_padres_exposoma,,radio,"ii. Emisiones visibles
¿Ha visto usted que esta empresa o industria emite humo, polvo o gases hacia el aire?
","1, Sí | 0, No | 99, No sabe / No responde","(marque solo una opción)",,,,,,y,LV,,,,"Emisiones visibles"
exposoma_23,cuestionario_de_padres_exposoma,,radio,"<div class=""rich-text-field-label""><p>¿Con qué frecuencia observa estas emisiones <span style=""text-decoration: underline;"">durante la semana</span>?</p></div>","1, Todos los días | 2, Solo los fines de semana | 3, Solo los días de semana | 4, de 1 a 3 días | 5, de 4 a 6 días",,,,,,[exposoma_22]='1',y,LV,,,,
exposoma_24,cuestionario_de_padres_exposoma,,radio,"¿A qué hora del día suele empezar la emisión de humo, gases o polvo?
","1, En la madrugada (00:00-06:00) | 2, En la mañana (06:00-12:00) | 3, En la tarde (12:00-18:00) | 4, En la noche (18:00-00:00) | 99, No sabe / No observa",,,,,,[exposoma_22]='1',y,LV,,,,
exposoma_25,cuestionario_de_padres_exposoma,,radio,"¿Hasta qué hora aproximadamente continúan las emisiones?","1, Termina a las 2 horas | 2, Termina entre 3 o 6 horas después de haber iniciado | 3, Termina entre 7 o 12  horas después de haber iniciado | 4, Termina entre 13 o 18  horas después de haber iniciado | 5, Permanece todo el día | 99, No sabe / No observa",,,,,,[exposoma_22]='1',y,LV,,,,
exposoma_26,cuestionario_de_padres_exposoma,,radio,"iii. Características del humo o polvo
Cuando ve el humo o el polvo, ¿de qué color suele ser principalmente?
","1, Blanco o gris claro | 2, Gris oscuro o negro | 3, Marrón o amarillento | 4, Otro color {exposoma_26_otro} | 99, No sabe / No observa",,,,,,[exposoma_22]='1',y,LV,,,,
exposoma_26_otro,cuestionario_de_padres_exposoma,,text,"Otro color (especifique):",,"Escribir en mayúsculas y sin tildes",,,,,[exposoma_26]='4',y,,,,,
exposoma_27,cuestionario_de_padres_exposoma,,radio,"<div class=""rich-text-field-label""><p>¿Ha notado algún <span style=""text-decoration: underline;"">olor fuerte o desagradable </span>cuando se emiten estos humos o gases?</p></div>","1, Sí | 2, A veces | 0, No",,,,,,,,LV,,,,
exposoma_28,cuestionario_de_padres_exposoma,,radio,"Si respondió ""Sí"", ¿cómo describiría el olor?
","1, A quemado o plástico | 2, A combustible o aceite | 3, A productos químicos o solventes | 4, A basura o residuos (ejemplo: huevo podrido) | 5, Otro (especifique): {exposoma_28_otro}",,,,,,"[exposoma_27] = '1'",,LV,,,,
exposoma_28_otro,cuestionario_de_padres_exposoma,,text,"Otro (especifique):",,,,,,,[exposoma_28]='5',y,,,,,
humo_impacto,cuestionario_de_padres_exposoma,,radio,"iv. Percepción del impacto
¿Cree que estas emisiones podrían estar afectando la salud de su familia o de su hijo?","1, Sí, mucho | 2, Algo | 3, Poco | 0, No | 99, No sabe / No responde",,,,,,,y,LV,,,,
encuestador_9,cuestionario_de_padres_exposoma," ",text,Encuestador,,,,,,,,y,RH,,,," @USERNAME"
fecha_hora_9,cuestionario_de_padres_exposoma,,text,"Fecha y hora (fin)",,HH:MM:SS,time_hh_mm_ss,,,,,y,RH,,,," @NOW @HIDEBUTTON @READONLY"
comentario_exposoma_6,cuestionario_de_padres_exposoma,,notes,"Comentario adicional",,"Escribir en mayúsculas y sin tildes",,,,,,,LH,,,," @CHARLIMIT=300 @PLACEHOLDER=""OBSERVACIONES O INCIDENCIAS DURANTE LA MEDICIÓN EN TRABAJO DE CAMPO"""
entorno_hogar_1,cuestionario_de_padres_informacin_sobre_el_ambient,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 1. Ventilación y orientación de su vivienda</p></div>",text,"¿Cuántas personas viven en su vivienda?",,"Indique el número en total de las personas ",,,,,,y,LV,,,,
n_menor1,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Menores de 1 año",,"Indique el número en total de las personas ",integer,,,,,y,LV,,,,
n_2a5,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Entre 2 a 5 años",,"Indique el número en total de las personas ",integer,,,,,y,LV,,,,
n_6a17,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Entre 6 a 17 años",,"Indique el número en total de las personas ",integer,,,,,y,LV,,,,
n_18a59,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Entre 18 a 59 años",,"Indique el número en total de las personas ",integer,,,,,y,LV,,,,
n_mas60,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"60 años a más",,"Indique el número en total de las personas ",integer,,,,,y,LV,,,,
entorno_hogar_2,cuestionario_de_padres_informacin_sobre_el_ambient,,descriptive,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-afdf5824-7fff-20c3-be27-c7c4cc6c596a"">Indique el número de personas en cada grupo de edad:</strong></p> <table style=""border-collapse: collapse; width: 99.9717%; height: 151.2px;"" border=""1""><colgroup><col style=""width: 49.9293%;""><col style=""width: 49.9293%;""></colgroup> <tbody> <tr style=""height: 25.2px;""> <td>Grupos etareos</td> <td>Indique el número por cada grupo</td> </tr> <tr style=""height: 25.2px;""> <td>Meores de 1 año</td> <td>{n_menor1}</td> </tr> <tr style=""height: 25.2px;""> <td>Entre 2 a 5 años</td> <td>{n_2a5}</td> </tr> <tr style=""height: 25.2px;""> <td>Entre 6 a 17 años</td> <td>{n_6a17}</td> </tr> <tr style=""height: 25.2px;""> <td>Entre 18 a 59 años</td> <td>{n_18a59}</td> </tr> <tr style=""height: 25.2px;""> <td>De 60 años a más</td> <td>{n_mas60}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
entorno_hogar_3,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-cbb28409-7fff-c1ca-85eb-e328addbf0e5"">¿Cómo describiría dónde vive?</strong></p></div>","1, Una casa para una sola familia | 2, Una casa compartida con otras familias | 3, Un departamento en edificio | 4, Un cuarto en vivienda o quinta | 5, Una vivienda improvisada (choza, cabaña, vivienda temporal) | 6, Otro tipo de vivienda (especifique):_______________________________",,,,,,,y,LV,,,,
entorno_hogar_3_otros,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-cbb28409-7fff-c1ca-85eb-e328addbf0e5"">Especifique que otro tipo de vivienda:</strong></p></div>",,"Escribir con mayúsculas y sin tildes.",,,,,"[entorno_hogar_3]=""6""",y,LV,,,,
sala,cuestionario_de_padres_informacin_sobre_el_ambient,,text,Sala(s),,,integer,,,,,y,LV,,,,
dormitorio,cuestionario_de_padres_informacin_sobre_el_ambient,,text,Dormitorio(s),,,integer,,,,,y,LV,,,,
otros_ambientes,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Otras ambientes (incluye cocina, baño(s)) ",,,integer,,,,,y,LV,,,,
entorno_hogar_4,cuestionario_de_padres_informacin_sobre_el_ambient,,descriptive,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-d357cff8-7fff-8585-e4e4-6a38e5c03ae9"">Número de habitaciones en su vivienda</strong></p> <p><em><span style=""font-weight: normal;""><strong><strong id=""docs-internal-guid-2c2a6b25-7fff-b49d-91f2-e5d49bcf97ef"">Por favor, indique cuántos ambientes tiene su vivienda:</strong></strong></span></em></p> <table style=""border-collapse: collapse; width: 99.9717%; height: 100.8px;"" border=""1""><colgroup><col style=""width: 49.9293%;""><col style=""width: 49.9293%;""></colgroup> <tbody> <tr style=""height: 25.2px;""> <td>Tipo de ambiente</td> <td>Número total</td> </tr> <tr style=""height: 25.2px;""> <td>Sala(s)</td> <td>{sala}</td> </tr> <tr style=""height: 25.2px;""> <td>Dormitorio(s)</td> <td>{dormitorio}</td> </tr> <tr style=""height: 25.2px;""> <td>Otros ambientes (incluye cocina, baño(s))</td> <td>{otros_ambientes}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,y,,,,,
sala_cortina,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Sala: cortinas","1, Sí | 0, No",,,,,,,y,LH,,,,
sala_alfombra_fija,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Sala: alfombra fija (en el suelo)","1, Sí | 0, No",,,,,,,y,LH,,,,
sala_tapete,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Sala: tapete (que puede retirarse)","1, Sí | 0, No",,,,,,,y,LH,,,,
dormitorio_hijo_cortina,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Dormitorio de su hijo: cortinas","1, Sí | 0, No",,,,,,,y,LH,,,,
dormitorio_hijo_alfombra,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Dormitorio de su hijo: alfombra fija (en el suelo)","1, Sí | 0, No",,,,,,,y,LH,,,,
dormitorio_hijo_tapete,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Dormitorio de su hijo: tapete (que puede retirarse)","1, Sí | 0, No",,,,,,,y,LH,,,,
bano_cortina,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Baño(s): cortinas","1, Sí | 0, No",,,,,,,y,LH,,,,
bano_alfombra,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Baño(s): alfombra fija (en el suelo)","1, Sí | 0, No",,,,,,,y,LH,,,,
bano_tapete,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Baño(s): tapete (que puede retirarse)","1, Sí | 0, No",,,,,,,y,LH,,,,
entorno_hogar_5,cuestionario_de_padres_informacin_sobre_el_ambient,,descriptive,"<div class=""rich-text-field-label""><p dir=""ltr"" role=""presentation"">Presencia de cortinas, alfombras o tapetes</p> <p dir=""ltr"" role=""presentation""><em><strong id=""docs-internal-guid-783d381d-7fff-f894-f8a8-b4b04098ead8"">Marque con un Sí o No si tiene los siguientes elementos en su vivienda:</strong></em></p> <table style=""border-collapse: collapse; width: 99.9717%; height: 118.933px;"" border=""1""><colgroup><col style=""width: 50.0243%;""><col style=""width: 14.2927%;""><col style=""width: 18.8223%;""><col style=""width: 16.9093%;""></colgroup> <tbody> <tr style=""height: 43.3333px;""> <td>Tipo de ambiente</td> <td>Cortinas</td> <td>Alfombra fija (en el suelo)</td> <td>Tapete (que puede retirarse)</td> </tr> <tr style=""height: 25.2px;""> <td>Sala(s)</td> <td>{sala_cortina}</td> <td>{sala_alfombra_fija}</td> <td>{sala_tapete}</td> </tr> <tr style=""height: 25.2px;""> <td>Dormitorio de su hijo</td> <td>{dormitorio_hijo_cortina}</td> <td>{dormitorio_hijo_alfombra}</td> <td>{dormitorio_hijo_tapete}</td> </tr> <tr style=""height: 25.2px;""> <td>Baño(s)</td> <td>{bano_cortina}</td> <td>{bano_alfombra}</td> <td>{bano_tapete}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,y,,,,,
sala_veces_ano,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Sala(s): veces al año que limpia",,,integer,,,,,y,,,,,
dormitorio_veces_ano,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Dormitorio de su hijo: veces al año que limpia",,,integer,,,,,y,,,,,
bano_veces_ano,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"Baño(s): veces al año que limpia",,,integer,,,,,y,,,,,
sala_forma_limpieza,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Sala(s): forma principal de limpieza","1, Barrido | 2, Aspiradora | 3, Lavado manual | 4, Lavado profesional",,,,,,,y,LV,,,,
dormitorio_forma_limpieza,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Dormitorio de su hijo: forma principal de limpieza","1, Barrido | 2, Aspiradora | 3, Lavado manual | 4, Lavado profesional",,,,,,,y,LV,,,,
bano_forma_limpieza,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Baño(s): forma principal de limpieza","1, Barrido | 2, Aspiradora | 3, Lavado manual | 4, Lavado profesional",,,,,,,y,LV,,,,
entorno_hogar_6,cuestionario_de_padres_informacin_sobre_el_ambient,,descriptive,"<div class=""rich-text-field-label""><p dir=""ltr"" role=""presentation"">Limpieza de alfombras o tapetes</p> <p dir=""ltr"" role=""presentation""><em><strong id=""docs-internal-guid-b870f812-7fff-d7b3-edac-f4474fc920a0"">Si en su vivienda hay alfombras o tapetes, indique<span style=""text-decoration: underline;""> cuántas veces al año </span>limpia cada ambiente (escriba el número):</strong></em></p> <table style=""border-collapse: collapse; width: 100.01%; height: 118.933px;"" border=""1""><colgroup><col style=""width: 47.545%;""><col style=""width: 25.3768%;""><col style=""width: 27.1269%;""></colgroup> <tbody> <tr style=""height: 43.3333px;""> <td>Tipo de ambiente</td> <td>Veces al año que limpia</td> <td>Forma principal de limpieza</td> </tr> <tr style=""height: 25.2px;""> <td>Sala(s)</td> <td>{sala_veces_ano}</td> <td>{sala_forma_limpieza}</td> </tr> <tr style=""height: 25.2px;""> <td>Dormitorio de su hijo</td> <td>{dormitorio_veces_ano}</td> <td>{dormitorio_forma_limpieza}</td> </tr> <tr style=""height: 25.2px;""> <td>Baño(s)</td> <td>{bano_veces_ano}</td> <td>{bano_forma_limpieza}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,y,,,,,
entorno_hogar_7,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"<div class=""rich-text-field-label""><p dir=""ltr"" role=""presentation"">¿De qué material principalmente están construidas las paredes exteriores de su casa/apartamento?</p></div>","1, Ladrillo o bloque de cemento | 2, Adobe (barro y paja) | 3, Tapia (barro apisonado) | 4, Piedra con barro | 5, Piedra con cemento | 6, Madera | 7, Quincha (caña con barro) | 8, Estera (caña o palma tejida) | 9, Material prefabricado (paneles, triplay, etc.) | 10, Otro (especifique): {entorno_hogar_7_otro}","(Marque solo una opción)",,,,,,y,LV,,,,
entorno_hogar_7_otro,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"<div class=""rich-text-field-label""><p dir=""ltr"" role=""presentation""><strong id=""docs-internal-guid-bf8107e9-7fff-0d9e-0998-82c616e0b2c5"">Otro (especifique):____________________________</strong></p></div>",,"Escribir en mayúsculas y sin tildes",,,,,"[entorno_hogar_7]=""10""",y,,,,,
entorno_hogar_8_sala,cuestionario_de_padres_informacin_sobre_el_ambient,"En la casa, las siguientes habitaciones tienen ventanas orientadas hacia:
(El entrevistador puede aclarar que ""interior"" se refiere a ventanas que dan al patio interno, pasillo o pozo de luz dentro de la vivienda o edificio)",radio,Sala(s),"1, Exterior | 2, Interior | 0, Sin ventana",,,,,,,y,,,entorno_hogar_8,,
entorno_hogar_8_dormitorio,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Dormitorio del niño","1, Exterior | 2, Interior | 0, Sin ventana",,,,,,,y,,,entorno_hogar_8,,
entorno_hogar_8_banos,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,Baño(s),"1, Exterior | 2, Interior | 0, Sin ventana",,,,,,,y,,,entorno_hogar_8,,
entorno_hogar_9_frio,cuestionario_de_padres_informacin_sobre_el_ambient,"¿Cuánto tiempo al día permanecen abiertas las ventanas de su hogar para ventilar?",radio,"Temporada invierno/ frío","0, Nunca | 1, < 30 min | 2, 30 min a 2 h | 3, >3 h",,,,,,,y,,,entorno_hogar_9,,
entorno_hogar_9_calor,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"Temporada verano - primavera/ calor","0, Nunca | 1, < 30 min | 2, 30 min a 2 h | 3, >3 h",,,,,,,y,,,entorno_hogar_9,,
entorno_hogar_10,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"<div class=""rich-text-field-label""><p>¿En qué medida le molesta la contaminación del aire al dejar las ventanas abiertas?<br><span style=""font-weight: normal; color: #1c46f7;""><em>(Se refiere a gases, humo, polvo del tráfico, industrias o quema de basura)</em></span></p></div>","0, Nada | 1, Poco | 2, Moderadamente | 3, Mucho","(marque solo una opción)",,,,,,y,LV,,,,
entorno_hogar_11,cuestionario_de_padres_informacin_sobre_el_ambient,,radio,"<div class=""rich-text-field-label""><p dir=""ltr"" role=""presentation"">¿Hacia dónde da la ventana del dormitorio de su hijo(a)?</p></div>","1, Hacia la calle o carretera | 2, Hacia un jardín o patio | 3, Hacia una vía férrea / tranvía / tren | 4, Otra vista, especifique: _____________________________","(Marque solo una opción)",,,,,,y,LV,,,,
entorno_hogar_11_otros,cuestionario_de_padres_informacin_sobre_el_ambient,,text,"<div class=""rich-text-field-label""><p dir=""ltr"">Otra vista, especifique: _____________________________</p></div>",,"Escribir en mayúsculas y sin tildes",,,,,"[entorno_hogar_11]=""4""",y,,,,,
